,Rooms,Price,Area,Location,Price_m2
646,1,608000,66.0,Lisboa,9212.12
4052,2,250000,76.0,Porto,3289.47
1627,2,227500,100.0,Porto,2275.0
6233,3,380000,112.85,Setúbal,3367.3
16062,2,506100,102.0,Porto,4961.76
5619,3,395000,119.0,Porto,3319.33
159,2,232500,99.85,Porto,2328.49
15698,1,330000,71.8,Ilha da Madeira,4596.1
5636,2,210000,82.0,Viana do Castelo,2560.98
7455,3,210000,106.0,Porto,1981.13
8485,3,305000,136.0,Leiria,2242.65
15463,3,375000,106.33,Leiria,3526.76
5584,3,275000,112.0,Coimbra,2455.36
14940,3,185000,99.0,Leiria,1868.69
10701,3,800000,239.0,Lisboa,3347.28
10978,3,150000,108.0,Aveiro,1388.89
13661,2,580000,95.03,Faro,6103.34
8630,1,435000,94.46,Faro,4605.12
1437,2,356850,79.3,Porto,4500.0
9715,3,425000,153.0,Porto,2777.78
13914,3,715000,143.0,Lisboa,5000.0
8290,4,540000,218.0,Castelo Branco,2477.06
7990,1,155000,86.0,Aveiro,1802.33
540,2,285900,86.0,Porto,3324.42
13787,3,165000,112.0,Viana do Castelo,1473.21
13392,2,375000,90.0,Ilha da Madeira,4166.67
4405,2,218000,76.0,Coimbra,2868.42
615,1,460000,73.0,Ilha da Madeira,6301.37
15743,4,685000,188.1,Porto,3641.68
14601,2,169500,95.0,Porto,1784.21
7988,1,349900,44.0,Lisboa,7952.27
1791,3,182000,80.0,Setúbal,2275.0
8417,2,315000,90.0,Lisboa,3500.0
13962,3,429900,70.0,Lisboa,6141.43
1511,3,350000,110.32,Faro,3172.59
2409,4,390000,93.0,Ilha de São Miguel,4193.55
8923,3,215000,126.0,Coimbra,1706.35
1580,4,600000,140.0,Lisboa,4285.71
3446,3,198500,109.0,Porto,1821.1
1206,1,250440,70.0,Faro,3577.71
8794,4,850000,224.0,Porto,3794.64
10964,3,340000,121.0,Setúbal,2809.92
8234,3,650000,128.0,Porto,5078.12
3285,2,499000,122.0,Porto,4090.16
7340,2,360000,91.0,Aveiro,3956.04
10114,2,368600,94.25,Porto,3910.88
14585,2,365000,140.94,Viseu,2589.75
5601,2,465500,115.0,Porto,4047.83
4664,2,270300,104.0,Porto,2599.04
7059,3,576030,120.54,Porto,4778.75
7841,3,205000,101.0,Aveiro,2029.7
8741,0,428000,49.1,Lisboa,8716.9
4704,3,183000,102.0,Castelo Branco,1794.12
12319,2,400680,95.4,Porto,4200.0
8364,0,219560,50.0,Porto,4391.2
10604,3,750000,157.3,Porto,4767.96
5343,2,210000,68.65,Porto,3058.99
3164,3,310000,114.0,Braga,2719.3
6065,0,190000,30.0,Porto,6333.33
218,4,385000,159.2,Porto,2418.34
8699,3,810000,126.0,Lisboa,6428.57
10626,1,580000,68.3,Faro,8491.95
2782,2,205000,114.0,Leiria,1798.25
12244,2,630000,79.26,Lisboa,7948.52
13481,2,160000,70.0,Setúbal,2285.71
7099,3,860000,168.0,Ilha da Madeira,5119.05
11821,2,190000,103.4,Castelo Branco,1837.52
9149,3,460000,127.0,Setúbal,3622.05
6333,4,220000,126.7,Porto,1736.39
1181,3,349000,148.0,Porto,2358.11
2491,2,630000,101.0,Porto,6237.62
2974,4,3064250,165.16,Setúbal,18553.22
9785,2,295000,98.0,Setúbal,3010.2
6231,3,1015000,241.15,Setúbal,4209.0
3804,2,398000,108.0,Porto,3685.19
114,2,219900,85.0,Porto,2587.06
2983,4,970000,231.4,Lisboa,4191.88
2011,3,357000,114.8,Porto,3109.76
1962,2,257500,92.0,Porto,2798.91
11352,2,273000,106.0,Viana do Castelo,2575.47
4243,3,515000,130.0,Lisboa,3961.54
12247,1,459000,59.87,Lisboa,7666.61
7885,2,640000,101.6,Lisboa,6299.21
12966,2,299000,100.0,Faro,2990.0
3728,2,434600,86.0,Faro,5053.49
13330,1,514000,84.27,Porto,6099.44
5001,0,169900,38.0,Braga,4471.05
14599,1,348000,41.0,Lisboa,8487.8
1727,2,344900,107.5,Lisboa,3208.37
12255,1,490000,62.93,Lisboa,7786.43
6090,3,507688,109.0,Porto,4657.69
9463,2,255000,99.0,Porto,2575.76
12604,2,220000,75.0,Aveiro,2933.33
3487,4,665000,180.0,Lisboa,3694.44
3838,2,247500,131.0,Porto,1889.31
13808,2,190000,82.0,Aveiro,2317.07
2308,4,490000,193.0,Braga,2538.86
6822,2,239900,84.9,Porto,2825.68
8287,2,365000,110.0,Faro,3318.18
11457,4,700000,145.0,Lisboa,4827.59
12541,2,289900,86.0,Porto,3370.93
4091,2,197500,64.0,Setúbal,3085.94
12128,4,435000,213.0,Porto,2042.25
3963,3,730000,154.5,Porto,4724.92
7220,3,300000,101.0,Setúbal,2970.3
2907,2,185000,125.0,Leiria,1480.0
10090,2,399900,88.33,Porto,4527.34
3516,4,580000,102.0,Lisboa,5686.27
13879,2,690000,103.0,Faro,6699.03
12571,1,240000,90.0,Porto,2666.67
14726,2,290000,109.33,Setúbal,2652.52
8745,2,695000,108.0,Lisboa,6435.19
13807,1,195000,63.0,Faro,3095.24
14606,2,521856,109.0,Porto,4787.67
2160,4,2500000,231.77,Lisboa,10786.56
12899,2,285000,104.42,Porto,2729.36
2763,3,670000,76.0,Lisboa,8815.79
6,3,235000,95.0,Porto,2473.68
1914,3,375000,124.0,Setúbal,3024.19
7127,0,448292,45.33,Setúbal,9889.52
3243,4,2100000,251.01,Porto,8366.2
1326,3,325000,108.0,Lisboa,3009.26
10165,2,875000,108.0,Lisboa,8101.85
13144,3,199900,103.0,Leiria,1940.78
3546,3,650000,100.0,Faro,6500.0
8974,2,240000,100.0,Leiria,2400.0
14702,4,890000,126.0,Lisboa,7063.49
15361,2,390000,78.61,Setúbal,4961.2
15258,3,360000,115.0,Faro,3130.43
15460,1,171000,45.75,Leiria,3737.7
9540,1,214900,70.0,Porto,3070.0
2404,3,159000,120.0,Leiria,1325.0
15777,4,500000,184.0,Porto,2717.39
2723,3,196000,80.0,Braga,2450.0
419,1,243090,68.65,Porto,3541.01
222,2,136000,63.0,Braga,2158.73
6036,3,465000,92.0,Porto,5054.35
1385,3,850000,158.0,Porto,5379.75
10765,2,405000,220.0,Setúbal,1840.91
8206,2,845000,99.0,Lisboa,8535.35
1037,2,516000,104.0,Porto,4961.54
5576,2,850000,112.0,Faro,7589.29
5007,2,568900,224.08,Faro,2538.83
6341,3,399900,134.0,Porto,2984.33
6676,2,700000,128.0,Ilha da Madeira,5468.75
9688,2,279800,83.4,Lisboa,3354.92
11941,2,217500,73.0,Porto,2979.45
9635,2,195500,70.0,Porto,2792.86
9603,1,500000,68.9,Lisboa,7256.89
4234,3,249000,125.0,Setúbal,1992.0
4600,1,275000,61.05,Faro,4504.5
11513,3,1300000,257.0,Porto,5058.37
11569,1,770000,71.0,Lisboa,10845.07
7866,2,720000,109.3,Lisboa,6587.37
9982,2,375000,84.03,Porto,4462.69
1788,3,174500,119.0,Leiria,1466.39
4212,5,1250000,240.0,Porto,5208.33
6104,2,408000,96.6,Faro,4223.6
15657,3,185000,107.0,Setúbal,1728.97
7549,1,480000,60.0,Lisboa,8000.0
903,4,2025000,281.0,Lisboa,7206.41
11756,3,885000,156.0,Lisboa,5673.08
452,4,1400000,164.1,Porto,8531.38
3958,2,445000,107.8,Lisboa,4128.01
11953,2,220000,86.6,Faro,2540.42
13816,2,308900,96.0,Porto,3217.71
12257,1,393000,51.64,Lisboa,7610.38
10748,3,196000,79.0,Faro,2481.01
487,3,1625000,181.0,Porto,8977.9
302,2,310000,81.42,Porto,3807.42
8489,3,365000,127.0,Setúbal,2874.02
15900,1,545000,88.0,Faro,6193.18
13671,1,415000,60.0,Faro,6916.67
10465,3,175000,106.0,Santarém,1650.94
765,2,370000,110.0,Lisboa,3363.64
6460,1,295000,43.0,Lisboa,6860.47
12835,2,189800,65.0,Lisboa,2920.0
14392,1,110000,63.0,Braga,1746.03
713,3,300000,97.0,Lisboa,3092.78
15397,1,206000,55.48,Braga,3713.05
343,3,370000,107.0,Faro,3457.94
1447,3,580000,135.0,Aveiro,4296.3
5739,2,193000,74.18,Viana do Castelo,2601.78
5415,2,244500,90.0,Braga,2716.67
6085,3,350000,88.0,Porto,3977.27
12555,3,119500,110.0,Santarém,1086.36
7994,5,4500000,358.0,Lisboa,12569.83
14286,1,415000,74.76,Lisboa,5551.1
12358,2,780000,115.95,Lisboa,6727.04
15613,0,130000,32.0,Braga,4062.5
15787,2,265000,68.0,Aveiro,3897.06
11113,4,305000,182.0,Porto,1675.82
5466,3,317900,182.0,Aveiro,1746.7
6190,4,650000,151.82,Setúbal,4281.39
13997,2,144900,105.0,Porto,1380.0
1839,2,275000,63.0,Lisboa,4365.08
5401,2,465000,102.0,Porto,4558.82
1223,2,169900,80.0,Porto,2123.75
6135,3,600000,131.0,Porto,4580.15
10422,4,880500,170.0,Porto,5179.41
10936,2,305000,77.32,Aveiro,3944.65
1640,3,225000,117.0,Setúbal,1923.08
12983,2,180000,85.0,Aveiro,2117.65
9235,3,215000,101.0,Setúbal,2128.71
13382,3,565000,145.0,Viana do Castelo,3896.55
103,3,325000,145.0,Setúbal,2241.38
8055,3,3496759,231.58,Lisboa,15099.57
12659,3,235000,83.0,Faro,2831.33
8199,2,780000,99.0,Lisboa,7878.79
9111,4,1165000,177.4,Porto,6567.08
2085,3,490000,141.0,Porto,3475.18
15831,3,450000,148.0,Porto,3040.54
5142,3,467000,150.24,Setúbal,3108.36
5537,3,420000,116.0,Faro,3620.69
5596,4,400000,104.0,Lisboa,3846.15
11626,4,1190000,210.0,Lisboa,5666.67
934,1,31500,70.0,Faro,450.0
9905,3,163000,90.0,Leiria,1811.11
14632,3,385000,169.39,Leiria,2272.86
10365,4,700000,160.0,Porto,4375.0
1609,3,325000,137.0,Porto,2372.26
14596,3,342298,138.0,Porto,2480.42
8414,3,222000,105.41,Aveiro,2106.06
11551,4,1408000,151.0,Lisboa,9324.5
11410,2,445000,85.37,Porto,5212.6
5688,1,230000,53.0,Porto,4339.62
262,1,225010,60.0,Porto,3750.17
4509,4,379000,135.0,Setúbal,2807.41
10505,3,388000,144.5,Porto,2685.12
9416,1,410500,75.0,Lisboa,5473.33
7632,2,585000,92.0,Coimbra,6358.7
1946,3,265000,102.0,Porto,2598.04
4279,1,565000,147.4,Setúbal,3833.11
2092,3,567500,139.0,Porto,4082.73
4120,3,590000,175.0,Lisboa,3371.43
8309,2,242000,92.0,Viana do Castelo,2630.43
8953,2,200000,102.0,Porto,1960.78
9052,2,585000,102.88,Lisboa,5686.24
6526,0,190000,35.0,Porto,5428.57
9609,1,510000,80.9,Lisboa,6304.08
8835,2,480000,100.0,Lisboa,4800.0
9949,4,715000,168.41,Porto,4245.59
9586,1,460000,52.9,Lisboa,8695.65
13517,3,475000,177.0,Aveiro,2683.62
113,2,308900,96.0,Porto,3217.71
2991,1,255000,58.0,Setúbal,4396.55
