,Index,Type,Price,Area,Location,Price_m2
860,892,T2,775000,112.0,Faro,6919.64
861,893,T2,215000,93.0,Lisboa,2311.83
862,895,T2,575000,95.0,Faro,6052.63
863,896,T3,215000,106.0,Faro,2028.3
864,897,T2,325000,80.0,Faro,4062.5
865,898,T3,295000,117.5,Lisboa,2510.64
866,899,T1,228510,53.0,Porto,4311.51
867,900,T1,170000,48.21,Lisboa,3526.24
868,901,T1,498000,57.2,Lisboa,8706.29
869,902,T2,780000,65.62,Lisboa,11886.62
870,903,T1,210000,102.0,Porto,2058.82
871,904,T2,515000,75.0,Lisboa,6866.67
872,905,T3,615000,134.0,Porto,4589.55
873,906,T2,265000,83.0,Porto,3192.77
874,907,T3,315950,133.0,Porto,2375.56
875,908,T2,178000,84.5,Porto,2106.51
876,909,T3,235000,116.0,Porto,2025.86
877,910,T3,280000,124.0,Braga,2258.06
878,911,T4,487000,135.0,Faro,3607.41
879,912,T2,450000,82.0,Lisboa,5487.8
880,913,T2,250000,71.0,Lisboa,3521.13
881,914,T3,173500,103.0,Setúbal,1684.47
882,915,T1,142500,56.0,Porto,2544.64
883,916,T2,265000,89.0,Aveiro,2977.53
884,917,T3,280000,114.0,Aveiro,2456.14
885,918,T1,160000,67.0,Porto,2388.06
886,919,T2,429000,91.0,Faro,4714.29
887,920,T2,408000,81.0,Faro,5037.04
888,921,T2,468000,92.0,Faro,5086.96
889,922,T2,550000,120.0,Lisboa,4583.33
890,923,T2,162000,67.6,Porto,2396.45
891,924,T0,175000,36.0,Porto,4861.11
892,925,T3,375000,102.3,Porto,3665.69
893,926,T3,495000,211.0,Faro,2345.97
894,927,T4,349000,160.0,Lisboa,2181.25
895,928,T3,199000,111.0,Braga,1792.79
896,929,T2,195000,82.0,Porto,2378.05
897,930,T2,240000,86.0,Lisboa,2790.7
898,931,T2,185000,92.0,Porto,2010.87
899,932,T1,170000,84.0,Porto,2023.81
900,933,T3,235000,105.4,Aveiro,2229.6
901,934,T1,199000,40.0,Lisboa,4975.0
902,935,T4,2125000,286.0,Lisboa,7430.07
903,936,T4,2025000,281.0,Lisboa,7206.41
904,937,T4,290000,179.0,Coimbra,1620.11
905,938,T3,219500,125.0,Porto,1756.0
906,939,T3,235000,130.0,Setúbal,1807.69
907,940,T2,370000,66.0,Lisboa,5606.06
908,941,T3,199000,80.0,Lisboa,2487.5
909,942,T2,260000,80.0,Lisboa,3250.0
910,943,T1,210000,90.0,Porto,2333.33
911,944,T3,155000,126.9,Beja,1221.43
912,945,T2,270000,97.87,Braga,2758.76
913,946,T2,169200,93.0,Aveiro,1819.35
914,947,T3,489000,127.0,Porto,3850.39
915,948,T3,403000,115.81,Porto,3479.84
916,949,T3,250000,130.0,Porto,1923.08
